Questions,Level,Category ,,Answer 1,Answer 2,Answer 3,Answer 4 ,Correct Answer
What are characteristics of a softwood?,1,Wood,Softwood,"Cheap, Light and flexible","Hard, tight grain and firm","Darker, durable and fire resistant ","Flammable, heavier and strong ",A
What is engineered wood?,1,Wood,Engineered,Thicker piece of wood stuck to a subcore,Solid wood ,Wood fibres bonded with resin and pressure,Thin piece of wood stuck to core panel,A
What is the best brush for oil?,1,Product type,Oil,Natural or Bristle blend,Synthetic brush,Masonry brush ,Angled brush,A
Name the four 'bases' of products?,1,General K,Bases,"Water, Meths, White Spirit and Cellulose","Meths, Turps, Water and Glycol","Water, Meths, Formaldehyde and Cellulose","Toulene, Zinc, Water and Meths",A
What is eggshell used on?,1,Product type,Paint,Walls and Woodwork,Concrete ,Glass ,Metal,A
What are Bona best known for? ,1,Brand,Bona,Varnishes,Oils,Paints,Waxes,A
Why do we get customers to do a oil test?,1,Product type,Oil,To check if wood is thirsty or to try to see what has previously been used,To see what a clear product would look like,To see if a wax polish will adhere to the surface,To see if the wood can be treated,A
What does preserve mean?,1,Product type,Preserver,"To protect from Fungi, Mould and Wood boring insects ",To protect it from water ingress,To protect it from moisture ,To protect it from delaminating ,A
If I have a log cabin that’s 3m (w) x 4m (l) x 2.5m (h) how many m2 do I have?,1,General K,Measurements,35m2,33m2,29m2 ,36m2,A
What is the difference between Osmo polyx oil and Osmo polyx oil raw?,1,Brand,Osmo,Osmo polyx oil Raw contains white pigment to keep the natural colour,Osmo polyx oil contains white to keep the natural colour,Osmo polyx oil comes in high gloss whereas raw is just satin,Osmo polyx oil raw can go outside ,A
Whats the difference between a pre cat and a acid cat?,1,Product type,Varnish,Pre cat is one part and acid cat is two part,Acid cat is coloured and pre cat is clear,Pre cat is two part and acid cat is one part,Acid cat is solvent based and pre cat is water based,A
"I have wood boring insects, what product is most suitable?",1,Product type,Preserver,Barrettine woodworm killer,Barrettine premier wood preservative,Barrettine decking oil,Barrettine wood protective treatment,A
What can you do to Manns wood stain to lighten the shade?,2,Brand,Manns,Dilute with water ,Dilute with meths,Dilute with white spirit,Dilute with cellulose,A
What wood type is classed as softwood but treated like hardwood?,2,Wood,Softwood,Cedar  ,Walnut,Pine,Teak,A
What type of roller would you recommend to apply varnish? ,2,Product type,Application,Microfibre roller,Velour roller,Mohair roller,Woven roller,A
What is the typical recommended temperature for completing exterior projects?,2,Preparation ,,Not less than 8 - 10 degrees,Not less than 2 - 4 degrees,Not less than 10 - 12 degrees,Not less than 20 - 22 degrees,A
What is the difference between the Peelaway 1 and the Peelaway 7?,2,Brand,Peelaway,"Peelaway 7 is for modern paint, Peelaway 1 is for older lead based ","Peelaway 1 is for modern paint, Peelaway 7 is for older paint",Peelaway 1 can go inside but Peelaway 7 is outside,Peelaway 7 is inside and Peelaway 1 can go outside ,A
What is the correct technique for applying oil?,2,Application,Oil,Apply thinly across the wood grain and wipe excess off with cloth,Apply thinly across the wood grain with a roller and wipe off excess with brush ,Apply with a roller and leave to dry ,Apply with a stockinette cloth ,A
What is the correct technique for applying varnish? ,2,Application,Varnish,Apply liberally with a roller and a brush for the edges,Apply with a cloth and buff off the excess,Apply with a trowel and brush for the edges,Apply with a garden sprayer,A
Why does hardwood need weathering outside? ,2,Wood,Hardwood,To release all the natural oils ,To reduce the water content ,To allow the wood to silver before treating ,To let the timber go mouldy,A
What primers are not recommended to use under Bona mega?,2,Brand,Bona,Bona natural and white primer,Bona natural and classic UX primer,Bona amber and intense primer,Bona white and amber primer,A
What is oxalic acid?,2,General K,,A bleaching agent,A wood glue,A varnish,An oil ,A
What product in this list is only good for rough sawn timber?,2,Wood,Softwood,Cuprinol Ducksback,Cuprinol garden shades,Cuprinol wood preserver clear,Cuprinol ultimate garden wood preserver,A
"I have 180mm floorboards and I want an adhesive, what one is best? ",2,Product type,Adhesive,Bona r848,Bona quantum,Bona titan ,Bona vertical ,A
What does the 250 and 440 mean In Morrells lacquers? ,2,Brand,Morrells,Percentage of solids,Percentage of sheens,Amount of durability,How much they cost ,A
What clear oil  would you recommend for a Iroko worktop? ,2,Product type,Oil,Fiddes hard wax oil ,Osmo top oil ,Osmo wood wax finish transparent ,Barrettine linseed oil ,A
What do you test the moisture in wood with? ,3,Wood,Test,Moisture meter detector ,Meter scanning pad ,Calcium carbide test,A temperature guage ,A
