question,level,category,product,option a,option b ,option c,option d,correct answer
What is plywood?,1,Wood,Engineered,Wood fibres bonded with resin and pressure ,Layers of wood veneers bonded adjacently ,Thin wood strands glued together with resin,Veener stuck to a core panel,B
How do you treat Bamboo?,1,Wood,other,Like softwood,Like hardwood,Like a veneer,Like mdf ,B
How long is a weathering period generally for?,1,Wood,Weathering,1 week,12 weeks,4 weeks,8 weeks ,B
What is the oil test?,1,Oil,other,Apply a thin coat of oil over the whole surface,Drop a pea sized amount of oil onto the wood,Apply a thick coat of oil to the wet wood,Drop a golf ball sized amount of oil to the surface,B
Why do we get customers to do a water test?,1,Wood,Test,To see what a paint looks like ,To see what any clear product would look like,To see what a clear wax would look like,To see what a tinted oil would look like,B
What does opaque mean?,1,General K,other,Can see through it ,Cant see through it,Can see shapes through it,Can see texture through it ,B
What does microporous mean?,1,General Q,other,Lets moisture in but not out ,Lets moisture out but not in ,Has a low VOC level ,Has a high VOC level ,B
What is the clear Bona primer called? ,1,Brand,Bona,Bona natural primer,Bona classic UX primer,Bona white primer,Bona intense primer ,B
What is the difference between Bona mega varnish and Bona mega natural?,1,Brand,Bona,Bona mega natural keeps the natural colour whereas Bona mega varnish does not,Bona mega varnish has the lowest sheen level,Bona mega natural has the lowest sheen level ,Bona mega natural does not need priming whereas Bona mega does,B
Most suitable product for a bar top?,1,Project,other,Osmo polyx oil   ,Manns bar top lacquer,Bona Mega varnish ,Sadolin classic wood protection,B
I have mould - what product is most suitable?,1,Preparation ,Cleaner,Osmo intensive cleaner,Barrettine mould and mildew cleaner,Fiddes wood surface cleaner,Bona wood floor cleaner,B
Which of the following is a common example of softwood?,2,Wood,Softwood,Oak,Pine,Maple,Mahogany,B
What is the process of pressure treating wood?,2,Product type,Preserver,Soaking the wood with water,Applying chemicals through high pressure to prevent decay,Sanding the wood to remove imperfections,Applying heat to increase strength,B
If sanding a oil off back to bare to refinish - what grits would you recommend?,2,Preparation ,Application,80- 120- 180,60- 80- 120,120- 180- 240,24- 36- 80- 180,B
What is a RAL chart?,2,General Q,other,A sheen matching system,A colour matching system,A dulux colour wheel,A matting agent matching system,B
Whats the average size of a door- total for both sides? ,2,General K,Measurements,7m2,3.5m,5m2,2.4m2 ,B
What is the best method to apply paint on large  flat surfaces such as ceilings?,2,Application,Paint,Using a paint brush,Using a paint roller,Using a sponge,Using a trowel ,B
What paint is typically used on wood due to its durability?,2,Product type,Paint,Emulsion,Satin or Gloss paint,Masonry  ,Lime wash ,B
Why is a knotting solution used?,2,Wood,Knots,To stop oils bleeding from the grain,To stop resins bleeding from knots,To stop water bleeding from end grain,To stop UV damage,B
How big roughly is 2 treads and 2 risers together?,2,General K,Measurements,3m2,1m2 ,5m2 ,0.5m2 ,B
"Osmo wood wax finish transparent and intensive, what is difference?",2,Brand ,Osmo,Osmo wood wax finish transparent is clear and intensive is paint ,Osmo wood wax finish intensive has more pigment compared to transparent ,Osmo wood wax finish transparent is outside and intensive inside ,Osmo wood wax finish transparent is made for hardwood,B
"Customers paint colour is incorrect, why could this be? ",2,Product type,Paint,No paint colour is correct,Not stirred  ,Wrong type of brush,Wrong substrate ,B
What is the general every day cleaner you would recommend for an oiled floor? ,2,Aftercare,Oil,Osmo intensive cleaner ,Osmo wash and care,Barrettine mould and mildew cleaner,Liberon floor cleaner,B
What stain would you recommend when matching a new piece of pine to an old piece? ,2,Product type,Stain,Morrells light fast wood stain,Manns classic pine stain,Blanchon reactive stain ,Liberon palette wood dye ,B
"Before you apply an adhesive to boards, is it important to leave the boards in the room for a week? ",3,Product type,Adhesive,You need to make sure they look good,The boards need to aclimatise to the temperature,You need to make sure they fit ,You need to test the moisture in the boards,B
What is marine plywood?,3,Wood,Engineered,Flexible and ideal for making curved furniture,Designed for wet and humid conditions,General construction on interior projects,Resitant to heat and made from softwood,B
What is Blanchon S.O primer used for? ,3,Brand,Blanchon,Woods that contain a lot of knots,Tropical or resinous woods,Pitch pine or spruce,To seal in a floor stain ,B
How should you safely dispose of oily rags in wood finishing? ,3,Aftercare,other,"Leave to air dry, then dispose in the bin ","Run under water, let air dry then dispose in the bin ",Dispose of them in the bin ,Flush down the toilet ,B
What finish in this list is bee friendly? ,3,General Q,other,Barrettine premier wood preserver,Protek royal exterior paint ,Osmo UV protection oil extra,Sadolin extra durable woodstain ,B
What is bitumen paint used for? ,3,Product type,Paint,Masonry  ,Concrete and metal,Wood,Veneer,B
What will timber do in cold temperatures? ,3,General K,other,Contract,Swell,Warp,Blister,B
If a customer has a log cabin that is 5m (l) x 3.5 (w) x 2.4m (h) and they want to do four walls inside and outside how many m2 do they have? ,3,General K,Measurements,79.2m2,81.6m2 ,80.8m2,78.5m2,B
What product here can give extra protection on a bathroom floor?,3,Primer,other,Bona intense primer,Osmo wood protector,Osmo WR Base coat,Morrells isolating sealer,B
"A customer has applied barrettine decking oil and the next morning its gone hazy white, why could this be?",3,Brand,Barrettine,They have over applied it ,Rained or to much moisture in the air,To hot and dried out,They have under applied it,B
If an oil test results in a 'jaggered edge' what does this indicate?,3,Product type,Oil,Needs fully sanding back and recoating,Should be able to apply a thin coat for maintenance,The wood does not need any  more oil,The surface needs 3 coats now,B
Why would you recommend Blanchon original wood environment over Fiddes hard wax oil? ,3,Brand,Blanchon,On hardwoods,Eco friendly ,On softwoods,On exterior projects,B
