question,level,category,product,option_a,option_b,option_c,option_d,correct_option
What are characteristics of a hardwood?,1,Wood,Hardwood,"Open grain, darker and expensive","Flammable, heavier and lighter ","Hard, tigher grain, darker","Cheap, lightweight and flexible ","Hard, tigher grain, darker"
What is MDF?,1,Wood,Engineered,Layers of wood veneers bonded adjacently ,Thin wood strands glued together with resin,Wood fibres bonded with resin and pressure,Veener stuck to a core panel,Wood fibres bonded with resin and pressure
What is Green Oak?,1,Wood,Hardwood,Kiln dried Oak,European Oak,Freshly felled Oak,English Oak ,Freshly felled Oak
What are the hardwoods here?,1,Wood,Hardwood,Pine and Spruce ,Cedar and Walnut,Teak and Walnut,Douglas fir and Idigbo,Teak and Walnut
What grit should the final sand be when applying oil?,1,Product type,Oil,60,80,120,180,120
What is emulsion used on?,1,Product type,Paint,Wood and Metal,Masonry,Walls and ceilings,Concrete ,Walls and ceilings
What does translucent mean?,1,General Q,,Can see through it ,Can see texture through it ,Can see shapes through it ,Cant see through it ,Can see shapes through it 
"If I have a decking that is 4m x 6m, how many m2 do I have?",1,General K,Measurements,22m2,30m2,24m2,42m2 ,24m2
What is a 'sheen' level?,1,General Q,,How much VOC the product contains,How much colour a product has ,How shiny a product is ,How UV resistant a product is ,How shiny a product is 
How many coats of Barrettine decking oil followed by Barrettine anti slip decking oil? ,1,Brand,Barrettine,2 of each ,"1 of decking oil, 2 of anti slip",1 of each ,"2 of decking oil, 1 anti slip ",1 of each 
What is the Osmo WR Base coat? ,1,Brand,Osmo,A coloured oil,An opaque oil ,A preservative ,A wood filler,A preservative 
Where cant you use Osmo UV protection oil extra?,1,Brand,Osmo,Log Cabin ,Cladding,Decking,Door,Decking
"My Fiddes hard wax oil has gone tacky, what would you recommend?",2,Brand,Fiddes,Apply another thin coat of oil ,"Clean the floor with water, or sand back completely","Wipe over with meths, or sand back completely ",Apply a coat of varnish ,"Wipe over with meths, or sand back completely "
What wood type is classed as hardwood but treated like softwood?,2,Wood,Hardwood,Pine  ,Mahogany ,Oak,Spruce,Oak
Which of the following is not a typical use of MDF?,2,Wood,Engineered,Cabinet doors,Furniture making,Flooring,Wall paneling ,Flooring
What does the moisture content need to be below to treat Green Oak?,2,Wood,,22%,16%,18%,24%,18%
What is the most appropriate adhesive for sticking skirting boards on?,2,Product type,Adhesive,Bona Titan ,Bona R848,Bona Vertical,Bona Quantum,Bona Vertical
Whats the best commercial grade product in this list? ,2,Project,,Osmo polyx oil ,Manns extra tough floor varnish ,Bona Traffic HD,Fiddes hard wax oil ,Bona Traffic HD
What is the correct technique for applying wax?,2,Application,Wax,Apply thickly with a brush and then buff with a cloth,Apply thinly with a roller and wipe off with brush,Apply with a stockinette cloth and then buff,Apply with a brush and then buff,Apply with a stockinette cloth and then buff
What is the primary purpose of using primer before painting?,2,Product type,Primer,To provide colour to the surface,To smooth out rough edges,To help paint adhere and stain block,To seal in odours,To help paint adhere and stain block
What are the knots in the wood? ,2,Wood,Knots,Bark,End grain,Branches,Resin,Branches
What is the difference between Bona Traffic HD and Bona Traffic HD RAW?,2,Brand,Bona,"Bona traffic HD is tinted, Bona traffic RAW is not",Bona traffic RAW keeps the wood looking natural,Bona traffic RAW has a lower sheen level ,"Bona traffic HD is anti slip, RAW isnt",Bona traffic RAW has a lower sheen level 
What is a biocide?,2,General K,,A chemical to kill animals ,A chemical used to control UV damage,A chemical used to control and prevent mould and harmful organisms ,A chemical to control odours,A chemical used to control and prevent mould and harmful organisms 
What is the best paint for a bathroom? ,2,Product type,Paint,Zinsser all coat exterior,Craig and rose chalky emulsion ,Zinsser Perma White ,Crown walls and ceilings,Zinsser Perma White 
What paint is more likely going to sit ontop of another paint out of these? ,2,Paint,,Protek royal exterior paint,Cuprinol garden shades,Sadolin superdec opaque wood protection,Ronseal garden paint ,Sadolin superdec opaque wood protection
What is the difference between white and patent knotting? ,2,Preparation ,Knots,White is interior and patent is exterior ,White is for paint and patent is for clear products,"White is for lighter topcoats, patent is for darker",White is water based and patent is solvent,"White is for lighter topcoats, patent is for darker"
"A product does 12m2 per L per coat, customer has 60m2 how many Ls do they need for two coats?",3,General K,Measurements,5L,7.5L,10L,12.5L,10L
What is the Bona scratch test? ,3,Brand,Bona,How many scratches the finish can withstand,"Apply a sample of bona, leave to dry for one hour and scratch to see if it adhered","Applying sample of varnish, leaving to cure for 3 days and use a coin to stratch to see if it adheres",Bona put their finishes through a 'scratch test' prior to selling to public ,"Applying sample of varnish, leaving to cure for 3 days and use a coin to stratch to see if it adheres"
