question,level,category,product,option_a,option_b,option_c,option_d,correct_option
What are the three reasons people treat timber? ,1,Wood,,"Prevent allergy, decay and to colour","To nourish, keep costs down and to look nice","Make it less flammable, to keep it strong and to keep it moist","Health, look and durability","Health, look and durability"
What is a wood veneer?,1,Wood,Engineered,Solid wood,Wood stuck adjacently ,Thicker piece of wood stuck to a core,Thin piece of wood stuck to a core,Thin piece of wood stuck to a core
What are the softwoods here?,1,Wood,Softwood,Cedar and Walnut,Teak and Walnut,Douglas fir and Idigbo,Pine and Spruce,Pine and Spruce
What is the best brush for varnish?,1,Product type,Varnish,Masonry brush,Angled brush,Natural or Bristle blend,Synthetic brush,Synthetic brush
What grit should the final sand be when applying varnish?,1,Product type,Varnish,60,80,120,180,180
What is the best applicator for a wax?,1,Product type,Wax,Cotton cloth ,Bristle blend brush,Synthetic brush,Stockinette cloth ,Stockinette cloth 
What is the water test?,1,Wood,,Drench the surface in water,Dip the wood in water ,Spray water on the surface ,Using a cloth wipe some clean water onto the surface,Using a cloth wipe some clean water onto the surface
What are Osmo best known for? ,1,Brand,Osmo,Waxes,Paints,Varnishes ,Oils,Oils
What does transparent mean?,1,General Q,,Cant see through it ,Can see shapes through it ,Can see texture through it,Can see through it ,Can see through it 
What does tanalised mean? ,1,Product type,Preserver,You can buy it in products to preserve the wood,Protected from moisture ,Protected from water ingress,Preserved but on industrial scale ,Preserved but on industrial scale 
What is the difference between Barrettine universal and Barrettine premier wood?,1,Brand,Barrettine,Premier wood preserver has no wax and only comes in clear,You can paint over Premier wood whereas you cant with universal ,Universal contains UV filters whereas premier wood does not,Universal has no wax and only comes in clear ,Universal has no wax and only comes in clear 
How many coats of Sikkens HLS Plus followed by Sikkens Filter 7 Plus?,1,Brand,Sikkens,2 of HLS and 2 of Filter 7,2 of HLS and 1 of Filter 7,3 of HLS and 1 of Filter 7,1 of HLS and 2 of Filter 7,1 of HLS and 2 of Filter 7
"I have greyed denatured timber, what product is most suitable?",1,Preparation ,Reviver,Osmo tannin spot remover,Fiddes wood surface cleaner,Barrettine mould and mildew cleaner,Osmo wood reviver gel,Osmo wood reviver gel
"If sanding a varnish off back to bare wood to treat again, what grits would you use?",2,Preparation ,Sanding,"36, 60, 120, 180 ","24. 36. 80, 180","80, 180, 240 ","60, 80, 120, 180","60, 80, 120, 180"
